Producto,Cliente,Cantidad Real,Cantidad Real N,Cantidad Pronosticada,Cantidad Pronosticada N,Diferencia,Diferencia Norm
LLED1-L,"INDUGLOB, S.A.",246528,7.133333333333332,117665.4923061676,3.404672809784942,128862.5076938324,3.72866052354839
LLED1-A,"INDUGLOB, S.A.",41616,12.041666666666666,29792.0398199902,8.620381892358276,11823.960180009799,3.42128477430839
BUJCAL02,"INDUSTRIAS UNIDAS, S.A. DE C.V.",30400,4.470588235294118,80230.0887362827,11.798542461218045,-49830.088736282705,-7.327954225923927
TREFPT44,DISTRIBUIDORA MODELO EN VILLA NICOLAS ROMERO S.A. DE C.V.,48,1.0,902.4000000507,18.80000000105625,-854.4000000507,-17.80000000105625
EBIS2TSP,FISHER & PAYKEL APPLIANCES INC.,100,1.0,1880.0000015079,18.800000015079,-1780.0000015079,-17.800000015079
CVT1,"TURMIX DE MEXICO, S.A. DE C.V.",26784,15.5,34794.3875939555,20.135640968724246,-8010.3875939555,-4.635640968724246
TREFIPG1,DISTRIBUIDORA MODELO EN VILLA NICOLAS ROMERO S.A. DE C.V.,96,3.0,721.9200580343,22.560001813571876,-625.9200580343,-19.560001813571876
TREFAP01,DISTRIBUIDORA MODELO EN VILLA NICOLAS ROMERO S.A. DE C.V.,144,3.0,902.4000725428,18.800001511308334,-758.4000725428,-15.800001511308334
FS12V7W,IMBERA S.A. DE C.V.,3556,4.938888888888889,7321.0262377267,10.168091996842639,-3765.0262377267,-5.22920310795375
FS12V7I,IMBERA S.A. DE C.V.,9300,8.072916666666668,15449.3919454201,13.41093050817717,-6149.3919454201005,-5.338013841510502
SAWLAV,"WHIRLPOOL MEXICO, S. DE R.L. DE C.V.",1920,1.7777777777777777,8505.7339411474,7.875679575136481,-6585.7339411474,-6.097901797358704
EBIS2AAB,INDUSTRIAS GUTIERREZ S.A. DE C.V.,3400,4.857142857142857,8685.7921764937,12.408274537848143,-5285.7921764937,-7.551131680705287
EBIS2AAE,INDUSTRIAS GUTIERREZ S.A. DE C.V.,2900,4.142857142857142,18253.4850874661,26.07640726780871,-15353.485087466099,-21.93355012495157
TRG0716C,CRIOTEC S.A. DE C.V.,10382,6.48875,4664.550579295,2.915344112059375,5717.449420705,3.5734058879406247
TERMOB2,CRIOTEC S.A. DE C.V.,2498,4.163333333333334,4665.2704291896,7.7754507153159995,-2167.2704291896,-3.6121173819826655
TRG2625C,CRIOTEC S.A. DE C.V.,4,1.3333333333333333,326.8990833093,108.9663611031,-322.8990833093,-107.63302776976667
EI-S4T2A,"TORTILLADORAS CELORIO DEL NORTE, S.A. DE C.V.",1500,3.0,9306.9154563272,18.6138309126544,-7806.9154563272,-15.6138309126544
BUJCAL04,INSUMOS TÉRMICOS Y AUTOMATIZACIÓN DEL CENTRO S.A. DE C.V.,500,1.0,7272.2367255133,14.544473451026601,-6772.2367255133,-13.544473451026601
TREFP01,DISTRIBUIDORA MODELO EN VILLA NICOLAS ROMERO S.A. DE C.V.,144,3.0,902.4000725428,18.800001511308334,-758.4000725428,-15.800001511308334
TREFP03,DISTRIBUIDORA MODELO EN VILLA NICOLAS ROMERO S.A. DE C.V.,85,1.7708333333333335,827.9404858757,17.248760122410417,-742.9404858757,-15.477926789077083
TRG1016I,REFRIMED S.A. DE C.V.,76,2.7142857142857144,433.9249092175,15.497318186339285,-357.9249092175,-12.78303247205357
